cell_data.txt
DO NOT INSERT EMPTY LINES. KEEP THE FORMAT AS IT IS
 CELL     TYPE       X          Y      CO 
CDM7380  CT0623   1600.200    939.900  FN
CDT1089  CT0587    471.280   1177.500  FN
CDW9270  CT0587   1683.010    556.500   N
CEA9085  CT0589   1405.200    904.800  FS
CEC5907  CT0587   1707.580   1636.500  FN
CEO3699  CT0031   1006.100   1261.200   S
CET0578  CT0657   1429.250   1029.000  FS
CEW4168  CT0587    463.220   1060.500  FN
CFH2266  CT0918   1135.710   1266.600  FS
CFM4417  CT0198   1505.560   1093.800  FS
CFP8189  CT0587   1720.970   1204.500   N
CFQ3050  CT0218    942.530   1277.400   S
CFX4557  CT0704   1110.750   1299.000   S
CFX9257  CT0561    369.360   1638.300   N
CGI6809  CT0918   1464.480   1099.200   S
CGJ0162  CT0918   1067.980   1282.800  FS
CGL9603  CT0587    697.870   1637.400   S
CGO6458  CT0587    495.070   1230.600   S
CGO8958  CT0587   1679.370    736.500   N
CGQ4535  CT0587    484.800   1137.000   S
CGU7460  CT0306   1669.880    810.300   N
CGX4908  CT0019   1698.350   1528.500  FN
CGY7357  CT0900   1522.590   1029.000  FS
CHK2646  CT0847   1478.000   1050.600  FS
CHM0415  CT0704   1435.490    872.400   S
CHM2213  CT0587   1701.470   1564.500   N
CHN0047  CT0587    494.420   1218.900  FN
CIA3343  CT0919   1722.270    594.300   N
CIM3338  CT0597    368.840   1639.200   S
CIN8477  CT0587   1691.070   1240.500   N
CIR7620  CT0704   1136.230   1299.000   S
CIT8342  CT0587    451.780   1123.500  FN
CIZ4413  CT0103   1513.360    894.000  FS
CIZ5503  CT0900   1131.550   1347.600  FS
CJA2974  CT0900   1504.130   1104.600   S
CJA5319  CT0078   1386.350    975.000  FS
CJD8475  CT0587   1714.860    628.500   N
CJM4948  CT0587    751.170   1600.500  FN
CJU7456  CT0900   1373.350    915.600   S
CKI0946  CT0150   1422.880    985.800  FS
CKI9329  CT0196   1429.510   1012.800  FS
CKM6007  CT0918   1529.480   1061.400   S
CKY1277  CT0589   1474.100   1007.400  FS
CLE0810  CT0587   1703.030   1276.500   N
CLK3996  CT0150   1523.760   1115.400   S
CLL4581  CT0587   1700.170   1168.500   N
CLM3852  CT0587   1718.500   1600.500  FN
CLR0783  CT0587   1714.860    880.500   N
CLW3726  CT0623    845.030   1610.400   S
CMJ3036  CT0587    494.810   1185.600   S
CMJ8924  CT0150   1530.130   1131.600  FS
CMS5829  CT0587    465.300   1101.900  FN
CMY9041  CT0900   1442.380    958.800  FS
CNE3737  CT0900    912.240   1304.400   S
CNI5348  CT0704   1117.250   1304.400  FS
CNI5362  CT0198   1441.730    985.800   S
CNI7332  CT0115    954.750   1309.800   S
CNO0884  CT0587    751.300   1601.400   S
CNQ4632  CT0587   1723.050   1672.500   N
CNT4508  CT0587   1689.640   1492.500   N
CNV6463  CT0839   1342.540    991.200  FS
COC1027  CT0587   1709.270   1240.500   N
COH4510  CT0150   1110.880   1304.400  FS
COK2067  CT0019   1703.030   1600.500  FN
COW1238  CT0704   1537.020    883.200  FS
COZ2092  CT0561    358.700   1371.000  FS
CPA9468  CT0198    836.580   1605.900   N
CPE8337  CT0900   1459.800    894.000  FS
CPG3040  CT0150   1511.930   1093.800  FS
CPN1382  CT0198   1160.280   1250.400  FS
CQD7538  CT0704   1410.400    964.200   S
CQH1096  CT0589   1372.310    985.800   S
CQI8890  CT0198   1673.520   1744.500  FN
CQN1275  CT0587   1707.450    520.500   N
CQU2311  CT0306    548.890    308.100  FN
CQX9634  CT0130   1404.290    888.600   S
CRB0691  CT0130   1537.410   1007.400   S
CRB3670  CT0629   1669.750   1420.500   N
CRF0404  CT0918    967.100   1304.400   S
CRJ3338  CT0587   1718.240    628.500   N
CRK4644  CT0587   1716.290   1384.500   N
CRK7690  CT0918   1136.620   1315.200  FS
CRO0680  CT0587   1713.300    700.500   N
CRY7889  CT0198   1385.830    915.600  FS
CSQ2600  CT0587    498.060   1350.300  FN
CST9782  CT0587   1690.160   1564.500   N
CTD4509  CT0918   1537.670   1072.200   S
CTG1717  CT0587   1691.720    988.500   N
CTH2009  CT0921    482.720   1295.400   S
CTJ3168  CT0587   1696.010    736.500   N
CTO8656  CT0587   1708.880    988.500   N
CTU8358  CT0587   1700.560   1384.500  FN
CTW0332  CT0561   1693.020   1240.500   N
CTX7063  CT0587    421.490   1622.100  FN
CUA6142  CT0031   1032.230   1309.800   S
CUB0108  CT0587    393.280   1003.800   S
CUB0592  CT0597    343.620    992.100  FN
CUC5668  CT0839   1385.440    894.000   S
CUG3931  CT0587   1702.640    664.500   N
CUJ0397  CT0587    353.370   1005.600   S
CUJ8773  CT0587   1700.040    700.500   N
CUK8912  CT0182   1531.820    915.600  FS
CVC4621  CT0267   1024.170   1266.600  FS
CVF8109  CT0587    635.990   1603.200   S
CVG6965  CT0587   1679.760   1492.500   N
CVH3258  CT0031   1011.950   1304.400  FS
CVH4830  CT0587    517.690   1600.500   N
CVJ2384  CT0587    765.080   1601.400   S
CVV7622  CT0587   1705.890    664.500   N
CVZ0755  CT0704   1536.630   1120.800  FS
CWF0744  CT0587    582.820   1728.300   N
CWJ3740  CT0587   1714.210   1060.500   N
CWS2516  CT0839   1458.890   1012.800   S
CWS7580  CT0587   1705.110   1528.500  FN
CWY2896  CT0150   1123.620   1277.400   S
CWY6733  CT0900   1516.090   1061.400   S
CXQ4938  CT0572    929.920   1293.600  FS
CYI2214  CT0918   1473.710    926.400  FS
CYM0314  CT0198   1673.520    772.500  FN
CYU6835  CT0587    654.580   1711.200   S
CZF0259  CT0587   1690.940    952.500   N
CZF3416  CT0182   1373.220    894.000  FS
CZF4567  CT0587   1705.630   1348.500  FN
CZG6389  CT0587   1700.040    952.500   N
CZJ2542  CT0587   1675.730   1528.500   N
CZK7671  CT0587    455.290   1465.500  FN
CZW6051  CT0900   1058.360   1250.400  FS
CZX8293  CT0839   1404.160    910.200   S
DAG0401  CT0587   1680.930    664.500   N
DAN6876  CT0918   1453.950   1023.600  FS
DAS0938  CT0198   1672.870   1348.500  FN
